fold,r2,mae,rmse,trial_number
2,0.9885923744476103,391.04940913123517,845.3280126300534,0
3,0.9928694802272884,360.600353994002,698.2209073628312,0
4,0.9959532493157811,302.7873321383805,547.0255992544857,0
5,0.9960865054493088,382.15100542479087,562.8435986699141,0
6,0.9967050548405763,302.4386821120623,514.9857882862086,0
2,0.9885793352375286,367.3860565295836,845.8109905104292,1
3,0.9927833326536003,373.61964234767584,702.4260321038063,1
4,0.995872444378475,305.4131424282441,552.4600690238792,1
5,0.9962105049615883,356.7565897028508,553.854942735051,1
6,0.996651415022924,304.20098196800666,519.1607022328355,1
2,0.985985355418419,467.85477971466105,936.9548776953974,2
3,0.993156712845664,334.41671176865816,684.0134426708784,2
4,0.9955579519550275,345.53417187325226,573.1206436762167,2
5,0.9960876513610051,354.56686544986036,562.7611894222651,2
6,0.9970354616264913,270.42276378368626,488.4832619960984,2
2,0.9863818360962445,366.96763297441413,923.6063512878455,3
3,0.9932795843999686,334.3161703026391,677.8448806980886,3
4,0.9955037355851506,395.02248732521576,576.6075806289089,3
5,0.9965919939871628,281.503617057809,525.2372763308231,3
6,0.9965290111265266,367.7785352385896,528.5642182072671,3
2,0.9869270064052278,498.8242958741612,904.9303550833104,4
3,0.9928990023081576,400.7761675426656,696.7740062484797,4
4,0.9958785854967587,314.92400431175764,552.0489315573099,4
5,0.9963197649031291,313.2292088643062,545.81208308925,4
6,0.996581373727772,362.66766827315485,524.5621635223205,4
2,0.9854147235949803,646.7453981884121,955.8394789927926,5
3,0.9925823347589459,396.1805553803056,712.1408026293693,5
4,0.9955831280920149,361.91757127007367,571.494201712487,5
5,0.9954450550869812,415.00981640767026,607.2212044787088,5
6,0.9964957034333162,308.3060424790363,531.0942207204911,5
2,0.9864097344661857,499.220403292971,922.6598095181237,6
3,0.9926693142041345,361.5802864451322,707.9532136778116,6
4,0.9959163035074159,339.40919464181655,549.5170282028016,6
5,0.996318475083492,307.07934097838944,545.9077206575305,6
6,0.9967682451534324,298.11654879547365,510.02369505334053,6
2,0.9858347551320474,488.8083060218331,941.975647848019,7
3,0.9931565127255403,366.09387823744044,684.02344399414,7
4,0.9958823119012113,327.26475859152555,551.7993057548599,7
5,0.9964722577408474,302.1324797507811,534.3844205306499,7
6,0.9964783948104255,334.9134112641181,532.4042106592626,7
2,0.9878152925836416,440.6688520585989,873.645380530431,8
3,0.9927351209214154,426.1962520451214,704.7684432376739,8
4,0.9956693353422504,338.847246811903,565.8895889653553,8
5,0.996618962403346,299.1718558590003,523.1549808061288,8
6,0.9966277494689085,298.7196207803423,520.9920122330486,8
2,0.9879375102480552,377.5722166619662,869.2528253918819,9
3,0.9931058629032623,335.7929932895546,686.5500649982052,9
4,0.9959371374737921,318.9806240564141,548.113488707114,9
5,0.9959665244847923,350.95482456034546,571.4063691289898,9
6,0.9960663984086683,335.6591023889646,562.6862911034929,9
2,0.9879066398806845,359.11892441822386,870.3644121383626,10
3,0.9928385678511613,351.0062834612525,699.7327414278438,10
4,0.9960219468052661,322.18173102005665,542.3625816031075,10
5,0.9964171390579788,322.7891528067539,538.5429447734442,10
6,0.9967652126995,299.4359802316756,510.2629243254049,10
2,0.984199519020853,504.3665839699188,994.8618699621355,11
3,0.9929695239266939,358.61343752879327,693.3054626973782,11
4,0.9951147807584882,382.88099301991736,601.0304229249197,11
5,0.9962840650859884,361.600323435698,548.4529966112633,11
6,0.9969356543253928,293.1162857854031,496.6380913394136,11
2,0.9886803797449052,372.03120994015995,842.0610147077664,12
